fighterid,link
1,http://ufcstats.com/fighter-details/6e15f63b6c2e2c15
2,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074
3,http://ufcstats.com/fighter-details/9560ff14eb3129f7
4,http://ufcstats.com/fighter-details/239d8e5359022f3b
5,http://ufcstats.com/fighter-details/64d47ef881a437a4
6,http://ufcstats.com/fighter-details/084532da3d25f3b8
7,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e
8,http://ufcstats.com/fighter-details/5b03b61f9d90125e
9,http://ufcstats.com/fighter-details/8667caa0451d245b
10,http://ufcstats.com/fighter-details/095854a135e6db55
11,http://ufcstats.com/fighter-details/887961364be5ceb3
12,http://ufcstats.com/fighter-details/07bc580bdf3eb9c8
13,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5
14,http://ufcstats.com/fighter-details/f139d6836efd43dd
15,http://ufcstats.com/fighter-details/791c8437b341fba5
16,http://ufcstats.com/fighter-details/5d8006587d6a6711
17,http://ufcstats.com/fighter-details/0f3a990526c5e706
18,http://ufcstats.com/fighter-details/e56cee1ad697db04
19,http://ufcstats.com/fighter-details/51e2f44a8dbf6984
20,http://ufcstats.com/fighter-details/5078e1dacf9d25f4
21,http://ufcstats.com/fighter-details/73a78713bd899f4c
22,http://ufcstats.com/fighter-details/ba15006c804a8de0
23,http://ufcstats.com/fighter-details/5c637af9472ae7cc
24,http://ufcstats.com/fighter-details/59c438c81fbf3ece
25,http://ufcstats.com/fighter-details/c03520b5c88ed6b4
26,http://ufcstats.com/fighter-details/d661ce4da776fc20
27,http://ufcstats.com/fighter-details/a0f0004aadf10b71
28,http://ufcstats.com/fighter-details/17e97649403ba428
29,http://ufcstats.com/fighter-details/792be9a24df82ed6
30,http://ufcstats.com/fighter-details/4461d7e47375a895
31,http://ufcstats.com/fighter-details/056c493bbd76a918
32,http://ufcstats.com/fighter-details/6e743a33d56bdaa4
33,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
34,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f
35,http://ufcstats.com/fighter-details/99bd51917728c25d
36,http://ufcstats.com/fighter-details/2e7878927067fdca
37,http://ufcstats.com/fighter-details/809bd1a871491508
38,http://ufcstats.com/fighter-details/fd406a32a6fb3a29
39,http://ufcstats.com/fighter-details/6a740daf1b279661
40,http://ufcstats.com/fighter-details/9d62c2d8ee151f08
41,http://ufcstats.com/fighter-details/ff62013d2fce6d13
42,http://ufcstats.com/fighter-details/1e4f273069fb9e85
43,http://ufcstats.com/fighter-details/7acbb0972e75281a
44,http://ufcstats.com/fighter-details/1e719d4b676dc19a
45,http://ufcstats.com/fighter-details/64a50dad704d1d49
46,http://ufcstats.com/fighter-details/4d8fa64202cee4c1
47,http://ufcstats.com/fighter-details/1c23ec2f1b71be40
48,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
49,http://ufcstats.com/fighter-details/841695e02c99a521
50,http://ufcstats.com/fighter-details/6d48a2df51749d91
51,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7
52,http://ufcstats.com/fighter-details/480779d7f9a424d3
53,http://ufcstats.com/fighter-details/eae48ff31db420c2
54,http://ufcstats.com/fighter-details/193b9d1858bc4df3
55,http://ufcstats.com/fighter-details/b1b0729d27936f2f
56,http://ufcstats.com/fighter-details/442c9011034ae1fd
57,http://ufcstats.com/fighter-details/0845c81e37d3bcb3
58,http://ufcstats.com/fighter-details/a495f599e787614f
59,http://ufcstats.com/fighter-details/0a1942069c9ad6b6
60,http://ufcstats.com/fighter-details/bf2c8e01b07d3eb1
61,http://ufcstats.com/fighter-details/fc08099550072fe4
62,http://ufcstats.com/fighter-details/6747ccd6d1acd266
63,http://ufcstats.com/fighter-details/f00ac08ab056af5d
64,http://ufcstats.com/fighter-details/98aa60cf58071fd6
65,http://ufcstats.com/fighter-details/fb37795db81f93f3
66,http://ufcstats.com/fighter-details/b1de86d835638319
67,http://ufcstats.com/fighter-details/9d19d9e4aa2662e8
68,http://ufcstats.com/fighter-details/de26d906f2874dd4
69,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f
70,http://ufcstats.com/fighter-details/8d3273573b85be09
71,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0
