Date,Weight,Link,Round,Time
"December 13, 2025",Flyweight,http://ufcstats.com/fight-details/a5a81a39ccf9b680,1,3:18
"December 13, 2025",Featherweight,http://ufcstats.com/fight-details/24bb03f0a3415fbe,2,1:29
"December 13, 2025",Middleweight,http://ufcstats.com/fight-details/d000cb692343cdcd,3,5:00
"December 13, 2025",Featherweight,http://ufcstats.com/fight-details/93ca562453f65b8d,1,1:14
"December 13, 2025",Heavyweight,http://ufcstats.com/fight-details/47149f3187661509,3,5:00
"December 13, 2025",Catch Weight,http://ufcstats.com/fight-details/fc4ab243d21b795d,3,5:00
"December 13, 2025",Welterweight,http://ufcstats.com/fight-details/0fca825e14429c1f,1,3:14
"December 13, 2025",Featherweight,http://ufcstats.com/fight-details/225e93ebed9b71b8,3,5:00
"December 13, 2025",Heavyweight,http://ufcstats.com/fight-details/a2523a8565fe4361,2,3:49
"December 13, 2025",Women's Bantamweight,http://ufcstats.com/fight-details/ceb5b0f1f6daddf6,3,5:00
"December 13, 2025",Heavyweight,http://ufcstats.com/fight-details/ac56a1052c4c8f63,3,5:00
"December 13, 2025",Women's Flyweight,http://ufcstats.com/fight-details/71170fb7ade3e1f4,1,2:05
"December 06, 2025",Bantamweight,http://ufcstats.com/fight-details/4a0db214d9721d6e,5,5:00
"December 06, 2025",Flyweight,http://ufcstats.com/fight-details/dfa692db6d39330c,1,0:26
"December 06, 2025",Flyweight,http://ufcstats.com/fight-details/fbbb9e72900b71f5,2,2:24
"December 06, 2025",Bantamweight,http://ufcstats.com/fight-details/1dc29f4c6fcdd356,3,5:00
"December 06, 2025",Light Heavyweight,http://ufcstats.com/fight-details/6d6ab10cbaa45e8c,3,5:00
"December 06, 2025",Lightweight,http://ufcstats.com/fight-details/c797b58d85c840a4,1,2:25
"December 06, 2025",Lightweight,http://ufcstats.com/fight-details/b3d2ac2244e4f791,1,2:30
"December 06, 2025",Women's Flyweight,http://ufcstats.com/fight-details/2417cc7bc1eea75b,3,5:00
"December 06, 2025",Lightweight,http://ufcstats.com/fight-details/10a57b983e59f727,2,4:59
"December 06, 2025",Middleweight,http://ufcstats.com/fight-details/3c683da1924b6c44,3,5:00
"December 06, 2025",Lightweight,http://ufcstats.com/fight-details/7af407397532f7cf,1,2:24
"December 06, 2025",Light Heavyweight,http://ufcstats.com/fight-details/ea660db65bfa998f,1,1:29
