kd_diff,sig_strike_diff,total_strikes_diff,td_diff,ctrl_time_diff,height_diff,reach_diff,age_diff,winrate_diff,winner
-0.4,49.2,93.8,0.6,19.2,4,0,1,-0.104774536,0
-0.1,14.8,16.8,-1,-29.5,5,6,13,-0.23015873,0
0.25,1,16,-1,-22.5,-2,-1,12,-0.072222222,0
-0.6,2.6,29,0,30.6,2,2,-1,0.144886364,1
0.2,14,-42,-1,-302,3,6,-2,-0.014285714,0
0.4,5.4,-13.4,-0.6,-41,1,-1,9,-0.158181818,1
0,-11,0.8,0.2,53.6,3,5,6,-0.292753623,0
0,-21.6,-19.4,0.2,131,-2,3,7,0.032608696,1
0,13,-5,0,-14,-2,-1,5,-0.208333333,0
1,64.2,94.8,0.8,54.8,3,1,9,-0.133333333,0
0,0,0,0,0,-1,-1,-4,-0.142857143,0
0,15.3,-22.8,-0.8,-311.9,-2,-5,11,0.04040404,1
0,-0.2,54.8,6.4,209.2,-1,1,2,0.007692308,0
-0.6,-49.6,-63.8,5.2,430.4,0,2,11,-0.055555556,0
-0.4,70.8,59.4,-1,-191.8,0,0,7,-0.228618421,0
-0.2,22,21.8,1,-1,-6,-6,11,-0.189393939,0
-0.6,21.2,31,0.6,68.6,-1,2,9,-0.132142857,0
-0.6,16.6,82,2.4,488,0,-1,1,0.034615385,0
0,-19.8,-20,-1.2,-65.4,0,2,-1,-0.202352941,0
-0.2,36.4,33.8,-0.4,1.4,0,-2,-5,0.122352941,1
0.2,4.8,-15.2,-1.4,-214.4,-3,-6,3,0.027972028,0
-0.4,81.2,79.6,-0.6,-25.2,2,2,-1,-0.227180527,0
-0.2,31,27.8,0.4,53.6,-4,-2,9,0.006578947,0
-0.25,3.75,22,1,59.5,-3,-4,-2,0.222222222,1
0.333333333,18.66666667,8.833333333,0.333333333,-104.5,-3,0,-7,0.333333333,1
-0.333333333,-17.2,1.066666667,1.8,175.2666667,2,-2,6,-0.182662539,0
0,5.8,10.6,2.8,264.8,-5,-3,-6,0.235966736,1
0,25.4,39.2,1.6,83.6,-4,-2,9,-0.116858238,0
0.4,14.6,24.6,0.4,46.2,2,-1,-2,-0.014992504,1
-0.25,53,50.85,-3.65,-239.55,3,3,10,-0.176470588,0
0.15,28,28.7,-0.15,-133.65,0,0,-1,0.013888889,1
-0.2,-10.4,-11,-0.8,112.8,3,7,-1,-0.025,0
